antecedentes,consequências,confiança,lift,convicção
"Dupla,Agosto",Masculino,0.8267374517374517,0.9927392937757069,0.9651015155258807
"Falta De Atenção,Agosto",Masculino,0.8298522669383598,0.9964795373515759,0.9827691788963376
"Agosto,Não Guardar Distância De Segurança",Masculino,0.8230683090705487,0.9883334184978317,0.9450876043384231
"Agosto,Segunda-feira",Masculino,0.826645264847512,0.9926285965430828,0.964588292122354
"Agosto,Sem Vítimas",Masculino,0.8498293515358362,1.0204678504651499,1.113506198596227
"Agosto,Sexta-feira",Masculino,0.8581267217630855,1.030431261995962,1.1786289144092876
"Simples,Agosto",Masculino,0.8673139158576051,1.0414631664512475,1.2602372659713887
"Sábado,Agosto",Masculino,0.847682119205298,1.01788947216269,1.0978090493357076
"adulto entre 35 e 53 anos,Agosto",Masculino,0.8708333333333333,1.0456892529942168,1.2945750806095078
"jovem adulto entre 18 e 35 anos,Agosto",Masculino,0.8062350119904077,0.9681201386710424,0.8629832955362576
"Atropelamento De Animal,Com Vítimas Feridas",Animais Na Pista,0.9752906976744187,23.06673749889469,38.759440820659385
"Animais Na Pista,Atropelamento De Animal",Condutor,0.8195908245505269,0.9142247116469776,0.5737663857280236
"Atropelamento De Animal,Condutor",Animais Na Pista,0.9895209580838322,23.40329938981353,91.39373130386257
Atropelamento De Animal,"Animais Na Pista,Condutor",0.8090575275397796,23.752401584327146,5.05878996845497
"Masculino,Atropelamento De Animal",Animais Na Pista,0.9894588896697118,23.40183140101911,90.855584582613
"Animais Na Pista,Atropelamento De Animal",Masculino,0.8729076255424675,1.0481800454198564,1.3157040194251468
Atropelamento De Animal,"Masculino,Animais Na Pista",0.861689106487148,23.9148763619707,6.969577489736096
"Animais Na Pista,Sem Vítimas",Atropelamento De Animal,0.8166351606805292,24.869889146746935,5.274531926609836
"Atropelamento De Animal,Sem Vítimas",Animais Na Pista,0.997690531177829,23.59651911239122,414.69221494311523
"Simples,Atropelamento De Animal",Animais Na Pista,0.9894736842105264,23.402181308785273,90.98328041477501
"Animais Na Pista,Atropelamento De Animal",Simples,0.8158710477371357,1.9543359525125323,3.163722213358481
Atropelamento De Animal,"Simples,Animais Na Pista",0.8053855569155446,23.813188403583677,4.964580206815888
"adulto entre 35 e 53 anos,Atropelamento De Animal",Animais Na Pista,0.9885620915032679,23.38062110141902,83.73198137419782
"jovem adulto entre 18 e 35 anos,Atropelamento De Animal",Animais Na Pista,0.9851851851851852,23.30075341501197,64.64601503155009
"Masculino,Animais Na Pista",Condutor,0.88733965421082,0.9897961460814333,0.9188035046822881
"Animais Na Pista,Condutor",Masculino,0.9386430678466078,1.1271146049125962,2.725298381836006
"Animais Na Pista,Sem Vítimas",Condutor,0.9234404536862004,1.0300653169920582,1.3520550412556362
"Simples,Animais Na Pista",Condutor,0.8051099227569816,0.8980717754866046,0.5311338679431162
"adulto entre 35 e 53 anos,Animais Na Pista",Condutor,0.8516129032258065,0.9499442130936895,0.6975857254444198
"Animais Na Pista,Sem Vítimas",Masculino,0.9234404536862004,1.108859435253317,2.1841292949501367
"Masculino,Animais Na Pista",Simples,0.8120468488566648,1.9451754738040508,3.099351369492076
"Simples,Animais Na Pista",Masculino,0.8651218062982768,1.0388308999545102,1.2397552437709218
"adulto entre 35 e 53 anos,Animais Na Pista",Masculino,0.8877419354838709,1.065992958508443,1.4895673520902015
"jovem adulto entre 18 e 35 anos,Animais Na Pista",Masculino,0.833965844402277,1.0014190861500953,1.0071177662817863
"Animais Na Pista,Sem Vítimas",Simples,0.8364839319470699,2.0037120160561326,3.5625419772684452
"adulto entre 35 e 53 anos,Animais Na Pista",Simples,0.8219354838709678,1.9688626912673102,3.271470751501788
"Atropelamento De Animal,Com Vítimas Feridas",Masculino,0.8081395348837209,0.9704070735475427,0.8715497891174109
"Masculino,Atropelamento De Animal",Condutor,0.8917779339423753,0.9947468908753553,0.9564844243012318
"Atropelamento De Animal,Condutor",Masculino,0.9498502994011976,1.1405721531527326,3.334335916574835
"Atropelamento De Animal,Sem Vítimas",Condutor,0.9168591224018474,1.0227240736356666,1.2450279999464087
"Simples,Atropelamento De Animal",Condutor,0.8172932330827067,0.9116618292497736,0.5665511042438547
"Atropelamento De Animal,Condutor",Simples,0.8136227544910178,1.9489503951565432,3.1255578158459953
"adulto entre 35 e 53 anos,Atropelamento De Animal",Condutor,0.8529411764705881,0.9514258551372846,0.7038864997387555
"jovem adulto entre 18 e 35 anos,Atropelamento De Animal",Condutor,0.8074074074074075,0.9006345387327657,0.537469895162512
"Atropelamento De Animal,Sem Vítimas",Masculino,0.926096997690531,1.1120493906777396,2.2626407951850753
"Masculino,Atropelamento De Animal",Simples,0.8292340126493324,1.9863455731903379,3.4112932290211697
"Simples,Atropelamento De Animal",Masculino,0.8872180451127819,1.0653638754108794,1.4826480714869439
