id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
596356,09/10/2009,RN,101,CANGUARETAMA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,34.0,Feminino
596356,09/10/2009,RN,101,CANGUARETAMA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,58.0,Masculino
596368,12/10/2009,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Com Vítimas Fatais ,Amanhecer,Nublado,Dupla   ,Urbano,29.0,Masculino
596368,12/10/2009,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Com Vítimas Fatais ,Amanhecer,Nublado,Dupla   ,Urbano,-1.0,Masculino
596378,11/10/2009,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,34.0,Masculino
596378,11/10/2009,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,26.0,Masculino
596435,11/10/2009,RN,101,GOIANINHA,Ingestão de álcool,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,38.0,Masculino
596435,11/10/2009,RN,101,GOIANINHA,Ingestão de álcool,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,20.0,Masculino
596459,10/10/2009,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,42.0,Masculino
596459,10/10/2009,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,-1.0,Inválido
596513,04/10/2009,RN,405,PAU DOS FERROS,Outras,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,15.0,Masculino
596513,04/10/2009,RN,405,PAU DOS FERROS,Outras,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,28.0,Masculino
596572,05/10/2009,RN,304,MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,43.0,Masculino
596649,15/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,34.0,Masculino
596649,15/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,27.0,Feminino
596659,15/10/2009,RN,427,CURRAIS NOVOS,Animais na Pista,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,52.0,Masculino
596659,15/10/2009,RN,427,CURRAIS NOVOS,Animais na Pista,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,36.0,Masculino
596680,15/10/2009,RN,304,ASSU,Outras,Saída de Pista,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,45.0,Masculino
596704,15/10/2009,RN,101,PARNAMIRIM,Falta de atenção,Saída de Pista,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,28.0,Masculino
596720,15/10/2009,RN,304,MACAIBA,Ultrapassagem indevida,Colisão lateral,Sem Vítimas        ,Plena noite,Ignorada,Simples ,Rural ,31.0,Masculino
596720,15/10/2009,RN,304,MACAIBA,Ultrapassagem indevida,Colisão lateral,Sem Vítimas        ,Plena noite,Ignorada,Simples ,Rural ,22.0,Masculino
596762,12/10/2009,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,30.0,Masculino
596762,12/10/2009,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,22.0,Masculino
