id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1129769,26/06/2012,RN,406,MACAU,Outras,Colisão frontal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Caminhão,Ileso       ,30.0,Masculino
1129790,22/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,21.0,Masculino
1129790,22/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,32.0,Masculino
1129790,22/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,22.0,Masculino
1129794,26/06/2012,RN,406,SAO GONCALO DO AMARANTE,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Rural ,Caminhonete,Ileso       ,39.0,Masculino
1129983,27/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Múltipla,Urbano,Automóvel,Ileso       ,31.0,Feminino
1129983,27/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Múltipla,Urbano,Automóvel,Ileso       ,45.0,Feminino
1129983,27/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Múltipla,Urbano,Automóvel,Ileso       ,26.0,Feminino
1130051,23/06/2012,RN,101,SAO JOSE DE MIPIBU,Ingestão de álcool,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Rural ,Motocicletas,Ferido Grave,29.0,Masculino
1130114,23/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Ônibus,Ileso       ,43.0,Masculino
1130114,23/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,43.0,Masculino
1130198,27/06/2012,RN,304,MOSSORO,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,-1.0,Inválido
1130198,27/06/2012,RN,304,MOSSORO,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Caminhão-Trator,Ileso       ,33.0,Feminino
1130214,23/06/2012,RN,226,TANGARA,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Caminhão,Ileso       ,57.0,Masculino
1130214,23/06/2012,RN,226,TANGARA,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Motocicletas,Ferido Grave,32.0,Masculino
1130230,24/06/2012,RN,304,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,-1.0,Inválido
1130230,24/06/2012,RN,304,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Ciclomotor,Ferido Leve ,33.0,Masculino
1130235,24/06/2012,RN,304,MOSSORO,Defeito na via,Queda de motocicleta / bicicleta / veículo,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Motoneta,Morto       ,-1.0,Masculino
1130236,23/06/2012,RN,304,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Ciclomotor,Ferido Leve ,23.0,Masculino
1130236,23/06/2012,RN,304,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,36.0,Feminino
1130320,19/06/2012,RN,101,NATAL,Outras,Colisão lateral,Sem Vítimas        ,Plena noite,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,44.0,Masculino
1130320,19/06/2012,RN,101,NATAL,Outras,Colisão lateral,Sem Vítimas        ,Plena noite,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,24.0,Feminino
1130412,24/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,32.0,Feminino
