id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
83124816,03/01/2014,RN,226,NATAL,Desobediência à sinalização,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,29.0,Feminino
83124816,03/01/2014,RN,226,NATAL,Desobediência à sinalização,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,33.0,Masculino
83124892,04/01/2014,RN,304,MOSSORO,Animais na Pista,Saída de Pista,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,48.0,Masculino
83124962,04/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Passageiro,33.0,Feminino
83124962,04/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,50.0,Feminino
83124962,04/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,43.0,Masculino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Masculino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,41.0,Masculino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,30.0,Masculino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Passageiro,-1.0,Feminino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Passageiro,-1.0,Feminino
83125168,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Passageiro,-1.0,Masculino
83125203,04/01/2014,RN,304,CAICARA DO RIO DO VENTO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,46.0,Masculino
83125203,04/01/2014,RN,304,CAICARA DO RIO DO VENTO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,84.0,Masculino
83125214,04/01/2014,RN,101,GOIANINHA,Outras,Saída de Pista,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Condutor,42.0,Masculino
83125229,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,38.0,Masculino
83125229,04/01/2014,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,46.0,Masculino
83125322,04/01/2014,RN,304,ASSU,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,48.0,Masculino
83125322,04/01/2014,RN,304,ASSU,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,28.0,Masculino
83125334,04/01/2014,RN,110,MOSSORO,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,Pedestre,59.0,Feminino
83125334,04/01/2014,RN,110,MOSSORO,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Inválido
83125369,05/01/2014,RN,101,SAO GONCALO DO AMARANTE,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,35.0,Masculino
83125369,05/01/2014,RN,101,SAO GONCALO DO AMARANTE,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,23.0,Masculino
83125412,01/01/2014,RN,405,RAFAEL FERNANDES,Outras,Colisão frontal,Com Vítimas Feridas,Anoitecer,Nublado,Simples ,Rural ,Condutor,35.0,Masculino
83125412,01/01/2014,RN,405,RAFAEL FERNANDES,Outras,Colisão frontal,Com Vítimas Feridas,Anoitecer,Nublado,Simples ,Rural ,Condutor,19.0,Masculino
83125412,01/01/2014,RN,405,RAFAEL FERNANDES,Outras,Colisão frontal,Com Vítimas Feridas,Anoitecer,Nublado,Simples ,Rural ,Pedestre,-1.0,Masculino
83125472,01/01/2014,RN,101,CANGUARETAMA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,79.0,Masculino
83125472,01/01/2014,RN,101,CANGUARETAMA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,29.0,Masculino
83125494,05/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Condutor,48.0,Masculino
83125494,05/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Condutor,43.0,Masculino
83125547,05/01/2014,RN,304,ANGICOS,Animais na Pista,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,42.0,Masculino
83125547,05/01/2014,RN,304,ANGICOS,Animais na Pista,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,52.0,Masculino
83125548,01/01/2014,RN,405,LUIS GOMES,Outras,Colisão com objeto fixo,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,29.0,Masculino
83125583,01/01/2014,RN,427,CAICO,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Inválido
83125583,01/01/2014,RN,427,CAICO,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Pedestre,28.0,Masculino
83125677,05/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,42.0,Masculino
83125677,05/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,41.0,Masculino
83125677,05/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,39.0,Masculino
83125940,03/01/2014,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,18.0,Masculino
83125940,03/01/2014,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,35.0,Masculino
83126049,06/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão com bicicleta,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,41.0,Masculino
83126049,06/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão com bicicleta,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,35.0,Feminino
83126063,06/01/2014,RN,427,CAICO,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Masculino
83126063,06/01/2014,RN,427,CAICO,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Pedestre,68.0,Masculino
83126108,06/01/2014,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,47.0,Feminino
83126108,06/01/2014,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,39.0,Feminino
83126108,06/01/2014,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Inválido
