id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83482287,17/07/16,Domingo,04:30:00,RN,304,305,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas,Amanhecer,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,0,2,0,0,2
83482388,17/07/16,Domingo,09:50:00,RN,304,"296,7",MACAIBA,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2,0,0,1,1,0,1,2
83482392,17/07/16,Domingo,10:30:00,RN,101,130,SAO JOSE DE MIPIBU,Defeito mecânico em veículo,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Rural,3,0,1,1,1,0,2,1
83482414,16/07/16,Sábado,05:00:00,RN,304,"43,7",MOSSORO,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Fatais,Amanhecer,Decrescente,Ceu Claro,Dupla,Reta,Rural,1,1,0,0,0,0,0,1
83482440,17/07/16,Domingo,16:30:00,RN,304,284,MACAIBA,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Rural,2,0,1,0,1,0,1,2
83482452,14/07/16,Quinta,12:00:00,RN,304,97,MOSSORO,Defeito mecânico em veículo,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2,0,2,0,0,0,2,1
83482491,17/07/16,Domingo,19:25:00,RN,405,4,MOSSORO,Ingestão de álcool,Colisão Transversal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2,0,0,1,1,0,1,2
83482510,17/07/16,Domingo,00:30:00,RN,405,173,RIACHO DE SANTANA,Outras,Colisão frontal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2,0,0,0,1,1,0,2
83482522,17/07/16,Domingo,22:30:00,RN,304,"302,3",MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Rural,3,0,0,3,0,0,3,2
83482534,17/07/16,Domingo,13:30:00,RN,304,"177,7",ANGICOS,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,3,0,0,0,3,0,0,3
83482558,18/07/16,Segunda,01:30:00,RN,304,186,LAJES,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,1,0,1,0,0,0,1,1
83482559,17/07/16,Domingo,19:30:00,RN,304,"285,6",MACAIBA,Outras,Colisão frontal,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2,1,0,0,1,0,0,2
83482755,18/07/16,Segunda,18:30:00,RN,406,154,CEARA-MIRIM,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,1,0,0,0,1,0,0,1
83482764,18/07/16,Segunda,19:50:00,RN,405,"2,9",MOSSORO,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2,0,1,0,0,1,1,2
83482848,17/07/16,Domingo,16:00:00,RN,226,"288,4",CAMPO GRANDE,Defeito na via,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Rural,1,0,1,0,0,0,1,1
83482900,19/07/16,Terça,07:20:00,RN,406,"141,3",CEARA-MIRIM,Falta de atenção,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,1,0,0,0,1,0,0,1
83482901,16/07/16,Sábado,06:15:00,RN,101,83,NATAL,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Fatais,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,1,1,0,0,0,0,0,1
83482917,19/07/16,Terça,08:35:00,RN,406,154,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2,0,0,0,1,1,0,2
83482995,19/07/16,Terça,15:50:00,RN,406,168,SAO GONCALO DO AMARANTE,Outras,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Urbano,1,0,0,0,1,0,0,1
83483011,19/07/16,Terça,13:15:00,RN,304,225,CAICARA DO RIO DO VENTO,Velocidade incompatível,Saída de Pista,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,3,0,3,0,0,0,3,1
83483039,19/07/16,Terça,13:50:00,RN,101,"99,8",PARNAMIRIM,Desobediência à sinalização,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Vento,Múltipla,Cruzamento,Urbano,2,0,0,0,2,0,0,2
83483051,19/07/16,Terça,08:20:00,RN,226,"174,2",CURRAIS NOVOS,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Curva,Urbano,2,0,1,1,0,0,2,1
83483086,16/07/16,Sábado,19:50:00,RN,226,"4,2",NATAL,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2,0,1,0,0,1,1,2
83483133,20/07/16,Quarta,09:30:00,RN,101,"108,6",PARNAMIRIM,Defeito na via,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Curva,Urbano,2,0,2,0,0,0,2,1
83483255,20/07/16,Quarta,16:35:00,RN,101,"82,9",NATAL,Outras,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,1,0,0,1,0,0,1,1
83483261,20/07/16,Quarta,08:00:00,RN,101,"104,8",PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83483353,11/07/16,Segunda,09:20:00,RN,226,"175,6",CURRAIS NOVOS,Outras,Atropelamento de pessoa,Com Vítimas Fatais,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2,1,0,0,1,0,0,1
83483449,21/07/16,Quinta,15:40:00,RN,101,"122,4",SAO JOSE DE MIPIBU,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,2,0,1,0,0,1,1,2
83483524,21/07/16,Quinta,16:40:00,RN,101,"149,5",GOIANINHA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,3,0,2,0,1,0,2,2
83483725,22/07/16,Sexta,10:30:00,RN,101,97,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83483735,22/07/16,Sexta,15:40:00,RN,101,107,PARNAMIRIM,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,1,1,0,1,1
83483799,22/07/16,Sexta,18:50:00,RN,226,"40,8",MACAIBA,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,3,0,0,1,1,1,1,2
83483800,22/07/16,Sexta,13:30:00,RN,406,"165,2",SAO GONCALO DO AMARANTE,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2,0,0,1,1,0,1,2
83483876,22/07/16,Sexta,23:10:00,RN,304,"3,3",MOSSORO,Outras,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,1,0,1,0,0,0,1,1
83484078,23/07/16,Sábado,16:30:00,RN,304,"283,2",MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2,0,0,0,2,0,0,2
83484117,23/07/16,Sábado,18:04:00,RN,304,48,MOSSORO,Outras,Colisão frontal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2,0,0,0,1,1,0,2
83484144,23/07/16,Sábado,16:40:00,RN,226,"173,8",CURRAIS NOVOS,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2,0,1,0,1,0,1,2
83484146,24/07/16,Domingo,01:15:00,RN,110,"47,6",MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,3,0,0,2,1,0,2,2
83484274,20/07/16,Quarta,17:00:00,RN,101,"99,9",NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2,0,0,1,1,0,1,2
83484292,21/06/16,Terça,06:55:00,RN,110,37,MOSSORO,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,1,0,0,1,0,0,1,1
83484474,22/07/16,Sexta,05:30:00,RN,101,"97,8",NATAL,Outras,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,3,0,2,1,0,0,3,2
83484619,25/07/16,Segunda,06:40:00,RN,304,"300,7",MACAIBA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Rural,2,0,2,0,0,0,2,2
