id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
265034,11/08/2007,Sábado,22:25:00,RN,101,95.9,NATAL,Desobediência à sinalização,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,1,1,0,2
265066,11/08/2007,Sábado,17:50:00,RN,226,118.7,SANTA CRUZ,Outras,Capotamento,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Simples,Curva,Rural,2007,2,0,2,0,0,0,2,1
265086,11/08/2007,Sábado,20:15:00,RN,101,96,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
265091,11/08/2007,Sábado,15:47:00,RN,304,290.9,MACAIBA,Dormindo,Colisão lateral,Com Vítimas Fatais,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,5,1,2,0,2,0,2,3
265140,12/08/2007,Domingo,03:30:00,RN,101,82.4,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Chuva,Dupla,Reta,Urbano,2007,2,0,0,0,1,1,0,2
265183,07/08/2007,Terça,06:30:00,RN,101,97.6,NATAL,Outras,Colisão Transversal,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2007,3,0,0,0,3,0,0,3
265255,12/08/2007,Domingo,15:25:00,RN,226,12.5,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,1,1,0,2
265261,04/08/2007,Sábado,10:20:00,RN,304,263,SAO PEDRO,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2007,1,0,0,0,1,0,0,1
265467,12/08/2007,Domingo,18:30:00,RN,405,29.4,MOSSORO,Falta de atenção,Colisão frontal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,0,1,0,1,1,2
265476,08/08/2007,Quarta,18:30:00,RN,427,3.1,CURRAIS NOVOS,Ingestão de álcool,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
265537,09/08/2007,Quinta,17:00:00,RN,101,97.7,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265553,05/08/2007,Domingo,20:00:00,RN,406,169.9,NATAL,Ultrapassagem indevida,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Crescente,Nublado,Simples,Reta,Urbano,2007,2,0,1,0,0,1,1,2
265575,13/08/2007,Segunda,08:30:00,RN,101,107.1,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Urbano,2007,5,0,0,0,5,0,0,5
265616,09/08/2007,Quinta,18:55:00,RN,101,106,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265658,19/06/2007,Terça,14:15:00,RN,304,299.9,MACAIBA,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Rural,2007,2,0,0,1,1,0,1,2
265662,13/08/2007,Segunda,07:50:00,RN,101,80.6,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Cruzamento,Urbano,2007,2,0,1,0,1,0,1,2
265732,09/08/2007,Quinta,19:20:00,RN,101,96.4,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ignorada,Dupla,Reta,Urbano,2007,2,0,1,0,0,1,1,2
265761,13/08/2007,Segunda,17:20:00,RN,101,108.8,PARNAMIRIM,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Simples,Cruzamento,Urbano,2007,2,0,1,0,1,0,1,2
265784,13/08/2007,Segunda,08:51:00,RN,101,97.5,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265804,10/08/2007,Sexta,16:00:00,RN,226,134.9,CAMPO REDONDO,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265860,13/08/2007,Segunda,18:30:00,RN,101,94.3,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
